4twp	4twp_protein_Repair_1	2v7a_ligand_similar_192	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_193	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_194	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_195	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_196	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_197	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_198	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_199	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_2	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_20	-9.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_200	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_201	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_202	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_203	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_204	-9.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_205	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_206	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_207	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_208	-8.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_209	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_21	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_210	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_211	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_212	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_213	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_214	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_215	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_216	-9.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_217	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_218	-9.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_219	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_22	-9.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_220	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_221	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_222	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_223	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_224	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_225	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_226	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_227	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_228	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_229	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_23	-9.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_230	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_231	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_232	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_233	-8.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_234	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_235	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_236	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_237	-7.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_238	-7.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_239	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_24	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_240	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_241	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_242	-7.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_243	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_244	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_245	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_246	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_247	-7.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_248	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_249	-9.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_25	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_250	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_251	-7.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_252	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_253	-8.9
