pdb,ligand_file,chembl_id,tanimoto_index
4crc,4crc_ligand_similar_3,CHEMBL3754262,0.926966
4crc,4cra_ligand_similar_172,CHEMBL401200,0.602649
4crc,4x6p_ligand_similar_45,CHEMBL4098046,0.634981
4crc,4crc_ligand_similar_52,CHEMBL4070736,0.663793
4crc,4cra_ligand_similar_21,CHEMBL3962188,0.644295
4crc,4cr9_ligand_similar_109,CHEMBL329221,0.632653
4crc,4cra_ligand_similar_157,CHEMBL3891181,0.604938
2c3i,2c3i_ligand_similar_111,CHEMBL537372,0.763736
2c3i,5dwr_ligand_similar_44,CHEMBL3651965,0.932927
2c3i,5dwr_ligand_similar_224,CHEMBL3651964,0.769634
2c3i,4k18_ligand_similar_48,CHEMBL4103560,0.632124
2c3i,3bgz_ligand_similar_185,CHEMBL502285,0.619469
2c3i,2c3i_ligand_similar_96,CHEMBL3580682,0.766082
2c3i,2c3i_ligand_similar_40,CHEMBL496757,0.8
2c3i,3bgz_ligand_similar_289,CHEMBL91376,0.603774
2c3i,5dwr_ligand_similar_33,CHEMBL3651959,0.943038
2c3i,5dwr_ligand_similar_45,CHEMBL3651958,0.93038
2c3i,3bgz_ligand_similar_284,CHEMBL2035017,0.603774
2c3i,5dwr_ligand_similar_241,CHEMBL3651952,0.751412
2c3i,2c3i_ligand_similar_347,CHEMBL3989150,0.677885
2c3i,4k18_ligand_similar_44,CHEMBL1700708,0.637931
2c3i,3bgz_ligand_similar_159,CHEMBL3718737,0.627273
2c3i,2c3i_ligand_similar_21,CHEMBL3979144,0.823864
2c3i,2c3i_ligand_similar_14,CHEMBL4079343,0.828729
2c3i,2c3i_ligand_similar_53,CHEMBL3938841,0.786517
2c3i,2c3i_ligand_similar_188,CHEMBL4082981,0.730159
2c3i,4k18_ligand_similar_63,CHEMBL1342204,0.610526
2c3i,5dwr_ligand_similar_90,CHEMBL3651948,0.89759
2c3i,5dwr_ligand_similar_1,CHEMBL3651945,1
2c3i,5dwr_ligand_similar_80,CHEMBL3651944,0.90303
2c3i,4k18_ligand_similar_54,CHEMBL1701802,0.625668
2c3i,5dwr_ligand_similar_60,CHEMBL3651942,0.923077
2c3i,5dwr_ligand_similar_126,CHEMBL3651941,0.881356
2c3i,2c3i_ligand_similar_490,CHEMBL3731760,0.610169
2c3i,2c3i_ligand_similar_54,CHEMBL3947323,0.785311
2c3i,3bgz_ligand_similar_157,CHEMBL367105,0.627451
2c3i,2c3i_ligand_similar_415,CHEMBL3234047,0.642045
2c3i,5dwr_ligand_similar_115,CHEMBL3651938,0.884393
2c3i,2c3i_ligand_similar_427,CHEMBL3730669,0.637363
2c3i,2c3i_ligand_similar_328,CHEMBL1901265,0.685083
2c3i,5dwr_ligand_similar_92,CHEMBL3651932,0.892216
2c3i,5dwr_ligand_similar_137,CHEMBL3651931,0.869822
2c3i,5dwr_ligand_similar_153,CHEMBL3651930,0.862857
2c3i,2c3i_ligand_similar_4,CHEMBL494762,0.884848
2c3i,3bgz_ligand_similar_175,CHEMBL524021,0.62069
2c3i,3jya_ligand_similar_6,CHEMBL573037,0.684615
2c3i,2c3i_ligand_similar_384,CHEMBL3916839,0.66055
2c3i,3bgz_ligand_similar_92,CHEMBL598330,0.650485
2c3i,2c3i_ligand_similar_283,CHEMBL3264093,0.705
2c3i,2c3i_ligand_similar_255,CHEMBL3264091,0.712121
2c3i,3jya_ligand_similar_13,CHEMBL1859885,0.64486
2c3i,5dwr_ligand_similar_261,CHEMBL3651999,0.715
2c3i,3bgz_ligand_similar_264,CHEMBL1204997,0.606838
2c3i,5dwr_ligand_similar_13,CHEMBL3651994,0.975309
2c3i,2c3i_ligand_similar_3,CHEMBL4092117,0.892857
2c3i,3bgz_ligand_similar_66,CHEMBL228782,0.673077
